hook_name,count,channel_full_count,total_exec_time_ns,avg_exec_time_ns,min_exec_time_ns,max_exec_time_ns,total_queue_time_ns,avg_queue_time_ns,min_queue_time_ns,max_queue_time_ns
"_OVERALL",1273805,1273112,1251814622810,982736,0,236847235505,58943489920726,46273558,0,521470643683
"scan with file YARA rules",105802,0,255532565932,2415195,1033503,3443688780,4393793752,41528,7454,2531745058
"schedule scan for symlink target",59432,0,119123373358,2004364,21220,16810217033,3249243946,54671,7454,2531745058
"scan with meta YARA rules",248984,0,61955571708,248833,84852,15903169,8625866037,34644,7454,2531745058
"scan with process YARA rules",68,0,59088307657,868945700,37131589,4065315273,1098336,16152,16152,16152
"scan object with YARA",49633,0,52332856567,1054396,334398,19496316,470179974016,9473132,7454,6465469220
"parse GZIP archive",10164,0,47445522553,4667997,131080,2516801079,115798452,11393,11393,11393
"parse ZIP archive",190,0,44372602373,233540012,4507571,16747744133,2164670,11393,11393,11393
"apply Sigma rules",995178,0,39568173724,39759,6973,20580985,480952568201,483282,7454,6465469220
"parse log file",135,0,24227579473,179463551,2054,2335545221,1538055,11393,11393,11393
"parse file content",105802,0,9776476765,92403,2465,483861950,4393793752,41528,7454,2531745058
"compare to ThorDB",156,0,4803045575,30788753,26511011,40497463,453096339201,2904463712,7454,6465469220
"check file excludes",90286,0,4563447388,50544,120,15594942,6833399624,75686,7454,2531745058
"parse journald format",5,0,2780615684,556123136,32950992,2042862044,56965,11393,11393,11393
"add meta information",45268,0,2520043289,55669,1994,13767333,6304929649,139280,7454,2531745058
"check file existence",308815,0,1633178575,5288,200,1111200,9323100521,30189,7454,2531745058
"scan process for malicious indicators",68,0,1420699898,20892645,175324,168447875,1098336,16152,16152,16152
"check with STIX IOCs",105802,0,1063168985,10048,971,146049,4393793752,41528,7454,2531745058
"extract process environment variables",68,0,1013994015,14911676,146661,32386605,1098336,16152,16152,16152
"extract process handles",68,0,890865413,13100961,2061986,103211262,1098336,16152,16152,16152
"check if file was already scanned",308682,0,676085853,2190,120,27642050,9321585252,30198,7454,2531745058
"search for Cobalt Strike beacons",179781,0,667211323,3711,852,3245062,5265624700,29289,7454,2531745058
"check if object should be logged",995178,0,599242655,602,220,68991,480952568201,483282,7454,6465469220
"schedule scan for executable",156,0,555662154,3561936,19998,53967168,453096339201,2904463712,7454,6465469220
"apply hash IOCs",105802,0,522137783,4935,1713,96094,4393793752,41528,7454,2531745058
"parse TARGZ archive",1,0,458820343,458820343,458820343,458820343,11393,11393,11393,11393
"apply false positive filters",995178,0,369028087,370,200,104980,480952568201,483282,7454,6465469220
"deduplicate reasons",248984,0,331785683,1332,150,121532,8625866037,34644,7454,2531745058
"limit frequent matches",995178,0,330785951,332,140,6443816,480952568201,483282,7454,6465469220
"store time information about deep scan",105802,0,311210434,2941,972,64663,4393793752,41528,7454,2531745058
"check if deep scan is needed",248984,0,277045387,1112,150,64984,8625866037,34644,7454,2531745058
"check if maximum file size is exceeded",248984,0,155370069,624,180,51820,8625866037,34644,7454,2531745058
"fill in interesting content",248984,0,104932803,421,160,59403,8625866037,34644,7454,2531745058
"scan object's command line with YARA",68,0,75984510,1117419,875902,1814964,1098336,16152,16152,16152
"log file",248984,0,60427995,242,120,50477,8625866037,34644,7454,2531745058
"parse TAR archive",1,0,46344901,46344901,46344901,46344901,11393,11393,11393,11393
"parse authorized_keys format",1,0,32853416,32853416,32853416,32853416,11393,11393,11393,11393
"parsing Firefox history",1,0,22612962,22612962,22612962,22612962,11393,11393,11393,11393
"initialize process memory reader",68,0,9316256,137003,85875,195743,1098336,16152,16152,16152
"enrich finding with file information",45,0,8615029,191445,19245,491999,29173726,648305,7454,28679921
"check process excludes",207,0,8517744,41148,221,455961,6334828770405,30603037538,16152,63380321575
"parse system crontab",3,0,8229583,2743194,10769,5492521,34179,11393,11393,11393
"truncate long values",502,0,7621879,15183,831,375596,463804262949,923912874,7454,6465469220
"analyze process connection",68,0,7551188,111046,2375,2435107,1098336,16152,16152,16152
"log object",502,0,6932512,13809,911,425122,463804262949,923912874,7454,6465469220
"parse OLE format",14,0,3947150,281939,43833,611427,159502,11393,11393,11393
"scan eBPF program with file YARA rules",1,0,3026105,3026105,3026105,3026105,10630,10630,10630,10630
"retrieve interesting process memory",68,0,1630833,23982,2795,102765,1098336,16152,16152,16152
"check for C2 IOCs",8,0,1218566,152320,83569,267842,119698,14962,11393,16152
"unpack UPX",3,0,1193427,397809,335570,472922,34179,11393,11393,11393
"truncate unimportant process memory sections",68,0,1148420,16888,5802,49554,1098336,16152,16152,16152
"log md5 to csv",38,0,453145,11924,120,44895,29101462,765827,11393,28679921
"check file mode",156,0,428552,2747,881,6663,453096339201,2904463712,7454,6465469220
"check for known evil services",156,0,403807,2588,1213,17684,453096339201,2904463712,7454,6465469220
"parse mail",5,0,94901,18980,9227,36029,56965,11393,11393,11393
"scan dependent files",35,0,13656,390,220,941,396886186,11339605,1179511,21701805
"check for port 0",6,0,10558,1759,1052,2244,96912,16152,16152,16152
"check if profile is recent",1,0,8135,8135,8135,8135,7845,7845,7845,7845
"check for network pipes",6,0,5002,833,492,1613,96912,16152,16152,16152
