hook_name,count,channel_full_count,total_exec_time_ns,avg_exec_time_ns,min_exec_time_ns,max_exec_time_ns,total_queue_time_ns,avg_queue_time_ns,min_queue_time_ns,max_queue_time_ns
"_OVERALL",1273490,692150,1420524907496,1115458,0,21000759551,559690661520386,439493566,0,6918990230
"scan with file YARA rules",105882,0,503972968883,4759760,1301213,4731090234,187213911717849,1768137282,6753,5279914324
"scan with meta YARA rules",249153,0,236442601407,948985,98797,3303579647,419051815651400,1681905558,6753,6775181365
"scan object with YARA",50144,0,148301358787,2957509,366950,4733675819,106203061556923,2117961502,3718,6775181365
"scan with process YARA rules",68,0,70274686509,1033451272,49326652,4721711676,179482735036,2639451985,21320,6469291836
"apply Sigma rules",994856,0,60778339004,61092,7033,75245584,2124617128535884,2135602668,3718,6775181365
"parse log file",135,0,55785056468,413222640,1213,4075395359,292828354192,2169098919,6753,4890437633
"compare to ThorDB",156,0,53590022098,343525782,54740112,370213682,385585160265,2471699745,10650,5157218562
"schedule scan for symlink target",59508,0,45940699926,772008,7444,412970166,86781466312512,1458315962,6753,6775181365
"parse GZIP archive",10164,0,45306013263,4457498,44996,2931317525,21234756452948,2089212559,6753,5279914324
"check file excludes",90362,0,29022471893,321180,140,765147357,161729837824027,1789799227,6753,6918990230
"parse ZIP archive",190,0,21669749936,114051315,158322,6847837807,379467158998,1997195573,6753,3591800839
"scan object's command line with YARA",68,0,17768137747,261296143,812952,4613880991,179482735036,2639451985,21320,6469291836
"parse file content",105882,0,16074108695,151811,1843,675854507,187213911717849,1768137282,6753,5279914324
"add meta information",45783,0,9787639618,213783,2074,2148053395,95481075218298,2085513732,6753,6775181365
"check process excludes",207,0,5035802279,24327547,221,2409578682,313873606208,1516297614,9298,6469861331
"parse journald format",5,0,4686256918,937251383,44648545,3715562037,7953207957,1590641591,1136303568,2325003135
"scan process for malicious indicators",68,0,3382018132,49735560,72157,2605066318,179482735036,2639451985,21320,6469291836
"check file existence",308991,0,2445856001,7915,120,6262781,506016930403939,1637642942,6753,6918990230
"check if file was already scanned",308859,0,2290428504,7415,109,33374901,505652540125010,1637163042,6753,6918990230
"check with STIX IOCs",105882,0,1458355805,13773,781,3926914,187213911717849,1768137282,6753,5279914324
"check if object should be logged",994856,0,891157223,895,220,5143085,2124617128535884,2135602668,3718,6775181365
"search for Cobalt Strike beacons",179868,0,807102128,4487,751,4049046,314345389698291,1747644882,6753,6469291836
"apply hash IOCs",105882,0,763280325,7208,2364,5895110,187213911717849,1768137282,6753,5279914324
"store time information about deep scan",105882,0,585977368,5534,652,26483089,187213911717849,1768137282,6753,5279914324
"apply false positive filters",994856,0,549151101,551,200,3830360,2124617128535884,2135602668,3718,6775181365
"deduplicate reasons",249153,0,517734401,2077,120,3440916,419051815651400,1681905558,6753,6775181365
"limit frequent matches",994856,0,507660797,510,140,3614857,2124617128535884,2135602668,3718,6775181365
"check if deep scan is needed",249153,0,353174758,1417,171,10950578,419051815651400,1681905558,6753,6775181365
"log object",502,0,339864936,677021,1082,3573500,644687442367,1284237933,3718,6469291836
"check if maximum file size is exceeded",249153,0,190607834,765,120,5301366,419051815651400,1681905558,6753,6775181365
"parse TARGZ archive",1,0,168332875,168332875,168332875,168332875,199594073,199594073,199594073,199594073
"fill in interesting content",249153,0,142542852,572,160,4398033,419051815651400,1681905558,6753,6775181365
"log file",249153,0,83985987,337,100,2777021,419051815651400,1681905558,6753,6775181365
"enrich finding with file information",45,0,37878423,841742,19277,14630780,66108225987,1469071688,6753,3657146861
"extract process handles",68,0,30518837,448806,192498,2144141,179482735036,2639451985,21320,6469291836
"parse authorized_keys format",1,0,21518554,21518554,21518554,21518554,2036757555,2036757555,2036757555,2036757555
"extract process environment variables",68,0,20817206,306135,123236,2860679,179482735036,2639451985,21320,6469291836
"initialize process memory reader",68,0,15475307,227578,98387,1560788,179482735036,2639451985,21320,6469291836
"parse TAR archive",1,0,15424084,15424084,15424084,15424084,1516220646,1516220646,1516220646,1516220646
"parsing Firefox history",1,0,15316209,15316209,15316209,15316209,1974873729,1974873729,1974873729,1974873729
"truncate long values",502,0,13100660,26096,662,2374361,644687442367,1284237933,3718,6469291836
"parse OLE format",14,0,9065606,647543,50547,1950171,25031035178,1787931084,120997234,3485833278
"check for C2 IOCs",8,0,5073341,634167,59543,2150613,19534183042,2441772880,208839045,4346897186
"schedule scan for executable",156,0,4130678,26478,16032,59242,385585160265,2471699745,10650,5157218562
"parse system crontab",3,0,2934541,978180,8557,2848926,4164408846,1388136282,909599259,1643937594
"scan eBPF program with file YARA rules",1,0,2034563,2034563,2034563,2034563,13887,13887,13887,13887
"unpack UPX",3,0,1901828,633942,364685,1039914,8160611637,2720203879,2298648650,2954348806
"retrieve interesting process memory",68,0,1663998,24470,2957,173331,179482735036,2639451985,21320,6469291836
"analyze process connection",68,0,1201608,17670,1373,431392,179482735036,2639451985,21320,6469291836
"truncate unimportant process memory sections",68,0,1110157,16325,4679,75404,179482735036,2639451985,21320,6469291836
"log md5 to csv",38,0,518352,13640,129,84201,51535975644,1356209885,6753,3657146861
"check file mode",156,0,281556,1804,832,4609,385585160265,2471699745,10650,5157218562
"check for known evil services",156,0,257973,1653,901,4409,385585160265,2471699745,10650,5157218562
"parse mail",5,0,185714,37142,14067,71176,12285494268,2457098853,2396240560,2590738696
"scan dependent files",35,0,21653,618,221,1393,56643515,1618386,3718,5071899
"check for port 0",6,0,13316,2219,772,3016,13198318771,2199719795,208839045,4346897186
"check if profile is recent",1,0,9669,9669,9669,9669,10480,10480,10480,10480
"check for network pipes",6,0,5328,888,240,1322,13198318771,2199719795,208839045,4346897186
