hook_name,count,channel_full_count,total_exec_time_ns,avg_exec_time_ns,min_exec_time_ns,max_exec_time_ns,total_queue_time_ns,avg_queue_time_ns,min_queue_time_ns,max_queue_time_ns
"_OVERALL",3425909,3421845,3750400898700,1094717,0,747844603200,1162073969043400,339201645,0,1930839920500
"scan with file YARA rules",55491,0,905618701100,16320100,0,9156636200,7496006167300,135085079,0,214518500600
"scan with process YARA rules",119,0,202684034200,1703227178,0,15536313200,11504442139700,96675984367,3171713500,213452560800
"parse CAB archive",26,0,142446857000,5478725269,2037900,100530622700,0,0,0,0
"scan object with YARA",98946,0,96624301200,976535,0,359659600,1118470684497600,11303849417,0,214525094600
"scan with meta YARA rules",95360,0,74739727100,783763,0,43949600,7525818783900,78920079,0,214518500600
"apply Sigma rules",2931705,0,71209498400,24289,0,43116100,1198313302631700,408742797,0,214525094600
"parse GZIP archive",6632,0,67426038000,10166772,0,946090000,0,0,0,0
"parse registry hive",381,0,54852601100,143970081,0,23712322700,0,0,0,0
"parse log file",211,0,49979556100,236869934,0,16746274700,0,0,0,0
"parse Shim database",21,0,46656964100,2221760195,7411600,12193289700,0,0,0,0
"parse file content",55491,0,40092257200,722500,0,2676414200,7496006167300,135085079,0,214518500600
"parse ZIP archive",310,0,39568706500,127640988,0,21567341500,0,0,0,0
"parse ETL file",237,0,39018269000,164634046,5375700,19847038600,0,0,0,0
"parse SHIM cache",2,0,21795247200,10897623600,797882800,20997364400,0,0,0,0
"schedule scan for executed file",884,0,20351994700,23022618,0,4512806700,0,0,0,0
"parsing Chrome history",5,0,14533236100,2906647220,8738000,14464080700,0,0,0,0
"parse Amcache",4,0,13396858400,3349214600,0,13396858400,0,0,0,0
"parse CHM file",23,0,12171397400,529191191,119648800,1107334200,0,0,0,0
"parse OLE format",22,0,8407286900,382149404,6362300,7201609100,0,0,0,0
"extract process handles",119,0,6969387100,58566278,6714900,571887500,11504442139700,96675984367,3171713500,213452560800
"check file existence",107183,0,6645532400,62001,0,13794200,21433329495200,199969486,0,214518500600
"add meta information",21040,0,4971312600,236279,0,743506100,7525818783900,357691006,0,214518500600
"scan entry",710,0,4751347000,6692038,0,3670380400,0,0,0,0
"check if file was already scanned",106028,0,4164777500,39279,0,15850300,21341946530300,201285948,0,214518500600
"parse RAR archive",10,0,3770854100,377085410,0,1963190400,0,0,0,0
"analyze prefetch file",343,0,3544794100,10334676,1010600,646571200,0,0,0,0
"check file excludes",24757,0,3186692500,128718,0,1546749400,21433329495200,865748252,0,214518500600
"extract process environment variables",119,0,2633026400,22126272,0,78519600,11504442139700,96675984367,3171713500,213452560800
"parse PowerShell module cache",1,0,1790488700,1790488700,1790488700,1790488700,0,0,0,0
"check with STIX IOCs",1148177,0,1589438900,1384,0,6397300,7634547766200,6649277,0,214518500600
"scan process for malicious indicators",119,0,1487437900,12499478,1008000,187110900,11504442139700,96675984367,3171713500,213452560800
"check if object should be logged",2931705,0,1453201500,495,0,16278600,1198313302631700,408742797,0,214525094600
"enrich finding with file information",334,0,1191420000,3567125,0,193165400,70652619900,211534790,0,29346284200
"apply false positive filters",2931705,0,1053305000,359,0,2555900,1198313302631700,408742797,0,214525094600
"log object",73313,0,998129500,13614,0,3081500,23635768237100,322395321,0,214518500600
"parse Atjobs file",237,0,886759800,3741602,0,11930900,0,0,0,0
"parse LNK format",184,0,886130400,4815926,0,785077600,0,0,0,0
"limit frequent matches",2931705,0,832387500,283,0,4023400,1198313302631700,408742797,0,214525094600
"apply hash IOCs",55491,0,465919200,8396,0,3775700,7496006167300,135085079,0,214518500600
"check size",1092686,0,463508700,424,0,4865600,138541598900,126789,0,138541598900
"parse ESE database",8,0,419514800,52439350,0,324532200,0,0,0,0
"apply handle IOCs",6382,0,379304000,59433,0,2796100,696477154537800,109131487705,929042400,213364012900
"search for Cobalt Strike beacons",80863,0,361810300,4474,0,2541400,19000448307000,234970855,0,214518500600
"store time information about deep scan",55491,0,349150200,6292,0,2871100,7496006167300,135085079,0,214518500600
"parse SRUM database",1,0,322258200,322258200,322258200,322258200,0,0,0,0
"check for suspicious event ID",299271,0,297172200,992,0,2556900,94466562191400,315655583,0,16469720800
"scan started image",9,0,252041000,28004555,0,227201400,21933079200,2437008800,2437008800,2437008800
"deduplicate reasons",95360,0,249401500,2615,0,2542500,7525818783900,78920079,0,214518500600
"scan SHIM cache entry for executed file",884,0,188183700,212877,0,2505300,0,0,0,0
"scan object's command line with YARA",119,0,180749000,1518899,0,2894700,11504442139700,96675984367,3171713500,213452560800
"check for suspicious locations",885,0,169111400,191086,0,2078400,11810853100,13345596,0,11810853100
"check process excludes",133,0,148747400,1118401,0,7065200,13071698090100,98283444286,3171713500,214487056300
"check if deep scan is needed",95360,0,138392600,1451,0,2075800,7525818783900,78920079,0,214518500600
"parse WMI persistence file",1,0,100835800,100835800,100835800,100835800,0,0,0,0
"scan scheduled task image",180,0,79966100,444256,0,3012500,30458010000,169211166,530100,467064300
"check if maximum file size is exceeded",95360,0,68591700,719,0,2070000,7525818783900,78920079,0,214518500600
"truncate long values",2475,0,38779500,15668,0,2068100,16258907803900,6569255678,0,213452560800
"fill in interesting content",95360,0,37487700,393,0,2044500,7525818783900,78920079,0,214518500600
"log file",95360,0,37094300,388,0,2098800,7525818783900,78920079,0,214518500600
"log found WER report",12,0,35234900,2936241,1248000,8101300,0,0,0,0
"parse jumplist file",11,0,29908600,2718963,0,10252400,0,0,0,0
"compare cache to last scan",2,0,16931200,8465600,7833800,9097400,0,0,0,0
"check for webserver directory",6382,0,13302700,2084,0,2049100,696477154537800,109131487705,929042400,213364012900
"check for C2 IOCs",33,0,12849800,389387,0,2529500,1880688435100,56990558639,0,214525094600
"analyze process connection",119,0,11329700,95207,0,3627500,11504442139700,96675984367,3171713500,213452560800
"compare to ThorDB",1,0,9619100,9619100,9619100,9619100,11810853100,11810853100,11810853100,11810853100
"initialize process memory reader",119,0,7190900,60427,0,2013900,11504442139700,96675984367,3171713500,213452560800
"scan with pipe IOCs",41,0,6638500,161914,0,2524400,793483800,19353263,0,34970900
"parse EVTX file",179,0,6051400,33806,0,5004800,0,0,0,0
"WER",12,0,5464300,455358,0,2011300,0,0,0,0
"check service permissions",688,0,4656400,6768,0,526700,4674730111500,6794665859,519500,20063975900
"log md5 to csv",5,0,2840600,568120,0,1757500,29346284200,5869256840,0,29346284200
"retrieve interesting process memory",119,0,2568600,21584,0,2008800,11504442139700,96675984367,3171713500,213452560800
"check for service overlap",683,0,1108600,1623,0,587500,3572875024000,5231149376,0,16942213500
"scan network share metadata",3,0,1049200,349733,0,526300,7323900,2441300,0,5755000
"check for golden ticket",1,0,518500,518500,518500,518500,0,0,0,0
"parse Microsoft Defender Protection log",9,0,517800,57533,0,517800,0,0,0,0
"truncate unimportant process memory sections",110,0,513500,4668,0,513500,10935761992500,99416018113,3173897300,213452560800
"check for known suspicious indicators",5,0,512200,102440,0,512200,21695700,4339140,0,8963900
"check for network pipes",15,0,0,0,0,0,1880688435100,125379229006,2230532700,214525094600
"check if profile is recent",3,0,0,0,0,0,6369900,2123300,1105500,3111100
"check for suspicious user",1,0,0,0,0,0,0,0,0,0
"check for unusual last logon",5,0,0,0,0,0,21695700,4339140,0,8963900
"check permissions on file",1,0,0,0,0,0,11810853100,11810853100,11810853100,11810853100
"check for empty SHIM cache",2,0,0,0,0,0,0,0,0,0
"check for port 0",15,0,0,0,0,0,1880688435100,125379229006,2230532700,214525094600
"check for known malicious patterns",1,0,0,0,0,0,0,0,0,0
