hook_name,count,channel_full_count,total_exec_time_ns,avg_exec_time_ns,min_exec_time_ns,max_exec_time_ns,total_queue_time_ns,avg_queue_time_ns,min_queue_time_ns,max_queue_time_ns
"_OVERALL",1273500,408888,1346465829957,1057295,3576,21492438928,53646554800094,42125288,0,8463755980
"scan with file YARA rules",105881,0,473699523080,4473885,1314057,3978965169,24282758540759,229340094,9638,1310362931
"scan with meta YARA rules",249149,0,210286120041,844017,97435,3141146761,48459486269663,194500023,9638,1311656409
"scan object with YARA",50101,0,141419388020,2822685,368674,3075167800,14926550526232,297929193,4048,8463755980
"scan with process YARA rules",68,0,75510653656,1110450789,41050918,5129143212,226936154288,3337296386,20829,8463755980
"apply Sigma rules",994865,0,60560049149,60872,7054,46290910,195827061184345,196837823,981,8463755980
"parse log file",135,0,47551094690,352230331,1633,3619672156,40929562226,303181942,9638,1088808781
"compare to ThorDB",156,0,46166152159,295936872,46736538,353098038,342315848487,2194332362,11562,4583509742
"parse GZIP archive",10164,0,43503352025,4280140,45988,3872979190,2911393808565,286441736,9638,1310362931
"schedule scan for symlink target",59505,0,35850012753,602470,7745,2857723032,8057706606739,135412261,9638,1290090133
"check file excludes",90359,0,25743415910,284901,140,3362312698,19748733690726,218558568,9638,1310362931
"parse ZIP archive",190,0,22664419644,119286419,209691,8204579305,83748063973,440779284,9638,866571238
"parse file content",105881,0,17154351057,162015,1592,633208835,24282758540759,229340094,9638,1310362931
"scan object's command line with YARA",68,0,13115234670,192871098,849972,4397250426,226936154288,3337296386,20829,8463755980
"add meta information",45738,0,6581217970,143889,2335,411262707,13692605877603,299370455,9638,1310362931
"parse journald format",5,0,4204107763,840821552,26322501,3595590310,761088273,152217654,9638,592037065
"check if file was already scanned",308855,0,2868031423,9286,100,39060270,56260480775439,182158232,9638,1311656409
"check file existence",308988,0,2440037537,7896,120,14538054,56309195666602,182237483,9638,1311656409
"scan process for malicious indicators",68,0,2179879651,32057053,89019,878063239,226936154288,3337296386,20829,8463755980
"check with STIX IOCs",105881,0,1295163094,12232,812,4237827,24282758540759,229340094,9638,1310362931
"check process excludes",207,0,955887448,4617813,231,471542441,351567958740,1698395935,10300,8463755980
"check if object should be logged",994865,0,795608647,799,210,3838815,195827061184345,196837823,981,8463755980
"search for Cobalt Strike beacons",179867,0,756403467,4205,771,4849404,38606235456317,214637679,9638,8463755980
"apply hash IOCs",105881,0,714614647,6749,2265,4125162,24282758540759,229340094,9638,1310362931
"apply false positive filters",994865,0,519649570,522,200,4033028,195827061184345,196837823,981,8463755980
"limit frequent matches",994865,0,516240518,518,140,18469787,195827061184345,196837823,981,8463755980
"deduplicate reasons",249149,0,496992104,1994,120,3773962,48459486269663,194500023,9638,1311656409
"store time information about deep scan",105881,0,461260897,4356,701,13530831,24282758540759,229340094,9638,1310362931
"check if deep scan is needed",249149,0,363714225,1459,180,4001877,48459486269663,194500023,9638,1311656409
"log object",502,0,351292665,699786,1313,15268217,581855199719,1159074103,4048,8463755980
"check if maximum file size is exceeded",249149,0,166005176,666,120,2374392,48459486269663,194500023,9638,1311656409
"parse TARGZ archive",1,0,164256065,164256065,164256065,164256065,55176305,55176305,55176305,55176305
"fill in interesting content",249149,0,127220863,510,169,2740580,48459486269663,194500023,9638,1311656409
"log file",249149,0,79623671,319,100,1946234,48459486269663,194500023,9638,1311656409
"parse authorized_keys format",1,0,36936417,36936417,36936417,36936417,424312069,424312069,424312069,424312069
"extract process handles",68,0,33021012,485603,212445,1953248,226936154288,3337296386,20829,8463755980
"enrich finding with file information",45,0,24502958,544510,20158,7353534,7319579097,162657313,4048,681332992
"extract process environment variables",68,0,21534547,316684,116904,1580977,226936154288,3337296386,20829,8463755980
"initialize process memory reader",68,0,16177185,237899,97085,1458594,226936154288,3337296386,20829,8463755980
"truncate long values",502,0,11763262,23432,631,2163649,581855199719,1159074103,4048,8463755980
"parsing Firefox history",1,0,6650733,6650733,6650733,6650733,364555896,364555896,364555896,364555896
"parse mail",5,0,6607238,1321447,11512,6530954,1766230157,353246031,163188648,760446505
"parse system crontab",3,0,6102116,2034038,12535,6034756,152536230,50845410,40639825,57919539
"parse OLE format",14,0,5351983,382284,62018,1403669,5836236894,416874063,9638,785908627
"schedule scan for executable",156,0,4789659,30702,15128,114638,342315848487,2194332362,11562,4583509742
"check for C2 IOCs",8,0,4325727,540715,54404,3289147,940618855,117577356,122684,364555896
"scan eBPF program with file YARA rules",1,0,1936717,1936717,1936717,1936717,21220,21220,21220,21220
"retrieve interesting process memory",68,0,1673321,24607,2514,165256,226936154288,3337296386,20829,8463755980
"unpack UPX",3,0,1370345,456781,369114,591559,519355393,173118464,9638,273400359
"analyze process connection",68,0,1158214,17032,1513,407848,226936154288,3337296386,20829,8463755980
"truncate unimportant process memory sections",68,0,1085756,15967,4279,51719,226936154288,3337296386,20829,8463755980
"parse TAR archive",1,0,837358,837358,837358,837358,80328153,80328153,80328153,80328153
"log md5 to csv",38,0,472806,12442,140,86074,5195209037,136716027,9638,368615581
"check file mode",156,0,397756,2549,641,7975,342315848487,2194332362,11562,4583509742
"check for known evil services",156,0,279162,1789,721,3518,342315848487,2194332362,11562,4583509742
"scan dependent files",35,0,18637,532,210,2304,66138647,1889675,4390,4504427
"check for port 0",6,0,12052,2008,951,2555,575059164,95843194,122684,189038850
"check if profile is recent",1,0,7565,7565,7565,7565,4048,4048,4048,4048
"check for network pipes",6,0,5241,873,371,2055,575059164,95843194,122684,189038850
