hook_name,count,channel_full_count,total_exec_time_ns,avg_exec_time_ns,min_exec_time_ns,max_exec_time_ns,total_queue_time_ns,avg_queue_time_ns,min_queue_time_ns,max_queue_time_ns
"retrieve interesting process memory",119,0,10222700,85905,0,2509900,1069627679000,8988467890,0,34934615800
"parse EVTX file",179,0,9478300,52951,0,3434700,417687853700,2333451696,0,8902483000
"check for service overlap",683,0,3158600,4624,0,1025400,520172702500,761599857,0,1450187000
"initialize process memory reader",119,0,3039500,25542,0,2012300,1069627679000,8988467890,0,34934615800
"check service permissions",688,0,1568600,2279,0,527700,4245922500,6171398,0,177848000
"log md5 to csv",6,0,1065800,177633,0,542300,5549120700,924853450,0,4213309500
"scan network share metadata",3,0,1061200,353733,0,530600,0,0,0,0
"truncate unimportant process memory sections",110,0,1060500,9640,0,544800,1014307159700,9220974179,0,34934615800
"check for golden ticket",1,0,528100,528100,528100,528100,0,0,0,0
"check for suspicious user",1,0,0,0,0,0,0,0,0,0
"check for network pipes",15,0,0,0,0,0,81052237700,5403482513,0,24428186400
"check for empty SHIM cache",2,0,0,0,0,0,4156100,2078050,0,4156100
"check if profile is recent",3,0,0,0,0,0,0,0,0,0
"scan started image",9,0,0,0,0,0,305822200,33980244,30043500,55867600
"parse Microsoft Defender Protection log",9,0,0,0,0,0,15943014000,1771446000,1771446000,1771446000
"check for unusual last logon",5,0,0,0,0,0,2618700,523740,0,2101500
"check permissions on file",1,0,0,0,0,0,0,0,0,0
"check for known malicious patterns",1,0,0,0,0,0,1729812000,1729812000,1729812000,1729812000
"check for port 0",15,0,0,0,0,0,81052237700,5403482513,0,24428186400
"check for known suspicious indicators",5,0,0,0,0,0,2618700,523740,0,2101500
