hook_name,count,channel_full_count,total_exec_time_ns,avg_exec_time_ns,min_exec_time_ns,max_exec_time_ns,total_queue_time_ns,avg_queue_time_ns,min_queue_time_ns,max_queue_time_ns
"_OVERALL",1273803,1273109,1250279050668,981532,0,236424568214,58775263212696,46141564,0,521954879280
"scan with file YARA rules",105803,0,255605944872,2415866,1010879,3348279718,4283386569,40484,7855,2568814169
"schedule scan for symlink target",59432,0,119207786241,2005784,17875,17116467683,619805095,10428,7855,14157017
"scan with meta YARA rules",248984,0,61859978954,248449,85003,40094303,5790384286,23256,7855,2568814169
"scan with process YARA rules",68,0,57062072940,839148131,35160449,4018237112,958596,14097,14097,14097
"scan object with YARA",49633,0,51614859041,1039930,323478,15343300,478868154789,9648180,5261,6610028429
"parse GZIP archive",10164,0,47007769722,4624928,107044,2428219716,102961320,10130,10130,10130
"parse ZIP archive",190,0,44336246056,233348663,4401218,17055471390,1924700,10130,10130,10130
"apply Sigma rules",995175,0,40099521106,40293,6943,14198074,488446495249,490814,5261,6610028429
"parse log file",135,0,23946688823,177382880,1333,2247266789,1367550,10130,10130,10130
"parse file content",105803,0,9847091077,93070,2034,528425231,4283386569,40484,7855,2568814169
"compare to ThorDB",156,0,4951285301,31739008,27653121,39957152,462283193696,2963353805,7855,6610028429
"check file excludes",90286,0,4560723686,50514,111,38260353,4200164982,46520,7855,2568814169
"parse journald format",5,0,2724333830,544866766,35473886,2015299036,50650,10130,10130,10130
"add meta information",45268,0,2564054467,56641,2043,25123865,3726741206,82326,7855,2568814169
"check file existence",308815,0,1665312008,5392,210,176367,6413863752,20769,7855,2568814169
"scan process for malicious indicators",68,0,1417115073,20839927,182668,164169682,958596,14097,14097,14097
"check with STIX IOCs",105803,0,1100086331,10397,912,160256,4283386569,40484,7855,2568814169
"extract process environment variables",68,0,894988738,13161599,135027,28004082,958596,14097,14097,14097
"extract process handles",68,0,762605716,11214789,2250415,84760011,958596,14097,14097,14097
"check if file was already scanned",308682,0,670512413,2172,120,27412362,6412516462,20773,7855,2568814169
"search for Cobalt Strike beacons",179781,0,660233562,3672,872,386748,5071868717,28211,7855,2568814169
"apply hash IOCs",105803,0,574771091,5432,1492,276588,4283386569,40484,7855,2568814169
"schedule scan for executable",156,0,570537792,3657293,20540,58673188,462283193696,2963353805,7855,6610028429
"check if object should be logged",995175,0,561275303,563,210,220752,488446495249,490814,5261,6610028429
"parse TARGZ archive",1,0,453817686,453817686,453817686,453817686,10130,10130,10130,10130
"apply false positive filters",995175,0,359225012,360,189,286657,488446495249,490814,5261,6610028429
"deduplicate reasons",248984,0,338350269,1358,160,136931,5790384286,23256,7855,2568814169
"limit frequent matches",995175,0,320114483,321,130,3805793,488446495249,490814,5261,6610028429
"store time information about deep scan",105803,0,285984352,2702,1022,164104,4283386569,40484,7855,2568814169
"check if deep scan is needed",248984,0,272667208,1095,150,161359,5790384286,23256,7855,2568814169
"check if maximum file size is exceeded",248984,0,161174405,647,180,267371,5790384286,23256,7855,2568814169
"fill in interesting content",248984,0,104047915,417,160,59754,5790384286,23256,7855,2568814169
"scan object's command line with YARA",68,0,85186471,1252742,906099,9533243,958596,14097,14097,14097
"log file",248984,0,60616285,243,120,50226,5790384286,23256,7855,2568814169
"parse TAR archive",1,0,49772814,49772814,49772814,49772814,10130,10130,10130,10130
"parse authorized_keys format",1,0,35067060,35067060,35067060,35067060,10130,10130,10130,10130
"parse OLE format",14,0,12383501,884535,48403,2502666,141820,10130,10130,10130
"check process excludes",208,0,10677621,51334,230,776081,6106851498184,29359862972,14097,61100581553
"initialize process memory reader",68,0,9826538,144507,90272,225221,958596,14097,14097,14097
"parsing Firefox history",1,0,9648512,9648512,9648512,9648512,10130,10130,10130,10130
"log object",502,0,9211630,18349,1462,1221130,475094789235,946403962,5261,6610028429
"enrich finding with file information",45,0,9166861,203708,11581,547464,39263958,872532,5261,38825382
"analyze process connection",68,0,8221569,120905,2655,3180250,958596,14097,14097,14097
"parse system crontab",3,0,8165392,2721797,7655,5291978,30390,10130,10130,10130
"truncate long values",502,0,7601010,15141,581,394423,475094789235,946403962,5261,6610028429
"scan eBPF program with file YARA rules",1,0,1941916,1941916,1941916,1941916,14768,14768,14768,14768
"retrieve interesting process memory",68,0,1702745,25040,4770,76354,958596,14097,14097,14097
"check for C2 IOCs",8,0,1232572,154071,92857,284723,104842,13105,10130,14097
"truncate unimportant process memory sections",68,0,1130288,16621,6112,44475,958596,14097,14097,14097
"unpack UPX",3,0,1086161,362053,352542,375766,30390,10130,10130,10130
"check file mode",156,0,449063,2878,1132,12884,462283193696,2963353805,7855,6610028429
"log md5 to csv",38,0,439137,11556,120,47471,39200192,1031584,10130,38825382
"check for known evil services",156,0,356708,2286,1292,16622,462283193696,2963353805,7855,6610028429
"parse mail",5,0,110460,22092,7755,45056,50650,10130,10130,10130
"scan dependent files",35,0,21471,613,211,1744,399140627,11404017,1006271,21548152
"check for port 0",6,0,11071,1845,1022,2465,84582,14097,14097,14097
"check if profile is recent",1,0,6512,6512,6512,6512,5261,5261,5261,5261
"check for network pipes",6,0,4187,697,370,1032,84582,14097,14097,14097
