hook_name,count,channel_full_count,total_exec_time_ns,avg_exec_time_ns,min_exec_time_ns,max_exec_time_ns,total_queue_time_ns,avg_queue_time_ns,min_queue_time_ns,max_queue_time_ns
"_OVERALL",1273843,1273507,1234280893654,968942,0,232827771433,29709057509453,23322385,0,514047781618
"scan with file YARA rules",105848,0,251243459539,2373625,973879,3388786279,235896120464,2228630,4678,6096937258
"schedule scan for symlink target",59432,0,117298706307,1973662,24576,16910436295,41760106348,702653,4678,6032986067
"scan with meta YARA rules",249033,0,61113456029,245403,88899,41681833,278082144381,1116647,4678,6096937258
"scan with process YARA rules",68,0,58108543694,854537407,36967647,4023629011,694892,10219,10219,10219
"scan object with YARA",49633,0,51711197640,1041871,322514,19572772,553169939681,11145204,3578,6096937258
"parse GZIP archive",10164,0,46373518601,4562526,121001,2409755390,47547192,4678,4678,4678
"parse ZIP archive",190,0,43752185848,230274662,3465783,16855341637,888820,4678,4678,4678
"apply Sigma rules",995216,0,39453623094,39643,6933,6321985,557593376955,560273,3578,6096937258
"parse log file",135,0,23766188618,176045841,1954,2249518485,631530,4678,4678,4678
"parse file content",105848,0,9694998732,91593,1984,486048343,235896120464,2228630,4678,6096937258
"compare to ThorDB",156,0,4513194625,28930734,25255796,38077334,268783269370,1722969675,9848,6096937258
"check file excludes",90286,0,4391480602,48639,120,13541372,357264930863,3957035,4678,6096937258
"parse journald format",5,0,2745115498,549023099,53957529,2026009965,23390,4678,4678,4678
"add meta information",45268,0,2456290790,54261,2074,12611547,277128931711,6121961,4678,6096937258
"check file existence",308864,0,1605430196,5197,201,270366,358287438747,1160016,4678,6096937258
"scan process for malicious indicators",68,0,1373052527,20191948,260897,159827395,694892,10219,10219,10219
"schedule scan for executable",156,0,1263836061,8101513,220089,150998075,268783269370,1722969675,9848,6096937258
"check with STIX IOCs",105848,0,1076011988,10165,761,91605,235896120464,2228630,4678,6096937258
"extract process environment variables",68,0,879900656,12939715,154385,24598112,694892,10219,10219,10219
"extract process handles",68,0,791215769,11635526,1942016,85989838,694892,10219,10219,10219
"check if file was already scanned",308731,0,662204107,2144,120,26953476,358286816573,1160514,4678,6096937258
"search for Cobalt Strike beacons",179830,0,625704320,3479,801,104560,236276706083,1313889,4678,6096937258
"check if object should be logged",995216,0,564271098,566,220,182439,557593376955,560273,3578,6096937258
"apply hash IOCs",105848,0,532653496,5032,1422,43233,235896120464,2228630,4678,6096937258
"parse TARGZ archive",1,0,467930187,467930187,467930187,467930187,4678,4678,4678,4678
"apply false positive filters",995216,0,364353557,366,200,317735,557593376955,560273,3578,6096937258
"deduplicate reasons",249033,0,336472923,1351,161,145869,278082144381,1116647,4678,6096937258
"limit frequent matches",995216,0,316327639,317,130,194090,557593376955,560273,3578,6096937258
"store time information about deep scan",105848,0,311811160,2945,1042,121061,235896120464,2228630,4678,6096937258
"check if deep scan is needed",249033,0,270295759,1085,169,129898,278082144381,1116647,4678,6096937258
"check if maximum file size is exceeded",249033,0,155283560,623,180,48503,278082144381,1116647,4678,6096937258
"fill in interesting content",249033,0,104402284,419,160,50345,278082144381,1116647,4678,6096937258
"scan object's command line with YARA",68,0,86052222,1265473,959542,8619910,694892,10219,10219,10219
"log file",249033,0,60055142,241,120,52200,278082144381,1116647,4678,6096937258
"parse TAR archive",1,0,55189439,55189439,55189439,55189439,4678,4678,4678,4678
"parsing Firefox history",1,0,41327297,41327297,41327297,41327297,4678,4678,4678,4678
"parse authorized_keys format",1,0,28309173,28309173,28309173,28309173,4678,4678,4678,4678
"truncate long values",502,0,10954284,21821,551,3585994,276004489854,549809740,3578,6096937258
"check process excludes",207,0,9902679,47839,190,857807,3170357410979,15315736284,10219,62226060511
"initialize process memory reader",68,0,9284332,136534,81715,210622,694892,10219,10219,10219
"enrich finding with file information",45,0,9156333,203474,12635,681761,34330445,762898,3578,34120543
"log object",502,0,8635093,17201,1012,897041,276004489854,549809740,3578,6096937258
"analyze process connection",68,0,7551520,111051,2735,2550819,694892,10219,10219,10219
"parse system crontab",3,0,7541262,2513754,9708,5184996,14034,4678,4678,4678
"parse OLE format",14,0,7344887,524634,43704,3240115,65492,4678,4678,4678
"retrieve interesting process memory",68,0,1647371,24226,2855,100061,694892,10219,10219,10219
"scan eBPF program with file YARA rules",1,0,1639258,1639258,1639258,1639258,14438,14438,14438,14438
"check for C2 IOCs",8,0,1314520,164315,82757,348475,70670,8833,4678,10219
"truncate unimportant process memory sections",68,0,1088171,16002,5971,62990,694892,10219,10219,10219
"unpack UPX",3,0,1060343,353447,307226,425612,14034,4678,4678,4678
"log md5 to csv",38,0,441104,11608,130,40667,34293629,902463,4678,34120543
"check file mode",156,0,385552,2471,1262,6833,268783269370,1722969675,9848,6096937258
"check for known evil services",156,0,372268,2386,1042,7034,268783269370,1722969675,9848,6096937258
"parse mail",5,0,101352,20270,7644,39335,23390,4678,4678,4678
"scan dependent files",35,0,18193,519,281,1272,401505011,11471571,1812529,20566218
"check if profile is recent",1,0,13136,13136,13136,13136,3578,3578,3578,3578
"check for port 0",6,0,8896,1482,782,2033,61314,10219,10219,10219
"check for network pipes",6,0,4999,833,300,1312,61314,10219,10219,10219
