hook_name,count,channel_full_count,total_exec_time_ns,avg_exec_time_ns,min_exec_time_ns,max_exec_time_ns,total_queue_time_ns,avg_queue_time_ns,min_queue_time_ns,max_queue_time_ns
"_OVERALL",1273552,340992,1397355143039,1097210,0,21674427155,108912619227806,85518784,0,58710640192
"scan with file YARA rules",105882,0,496908733461,4693042,1381266,4537460734,62161902421311,587086590,6472,58709080115
"scan with meta YARA rules",249152,0,232868991045,934646,99771,3235484979,101557055051911,407610836,6472,58710640192
"scan object with YARA",50606,0,151545119473,2994607,382821,4595930143,9485949377626,187447128,4458,51514587913
"scan with process YARA rules",68,0,67023526791,985640099,44586066,4693345004,74366280564,1093621773,24887,8582234830
"apply Sigma rules",994916,0,59975514688,60281,6893,39663151,207758533033887,208820174,771,58710640192
"compare to ThorDB",156,0,52174873533,334454317,72670700,402843831,383055332870,2455482903,9739,5179767260
"parse log file",135,0,40375485845,299077672,2865,3209708498,136217510002,1009018592,9037,29743847881
"parse GZIP archive",10164,0,37894705953,3728326,48481,3541238089,3079589835296,302989948,9037,20060050985
"schedule scan for symlink target",59508,0,29099158430,488995,8807,2164970798,13911265478895,233771349,9037,58708417049
"check file excludes",90362,0,28806592888,318791,110,336811479,7763869142087,85919624,4288,39509484194
"parse ZIP archive",190,0,22775626311,119871717,163582,8950249723,111991973051,589431437,9037,10220134187
"parse file content",105882,0,14882505053,140557,1874,596965479,62161902421311,587086590,6472,58709080115
"scan object's command line with YARA",68,0,7817206358,114958917,909466,2337652394,74366280564,1093621773,24887,8582234830
"add meta information",46245,0,7416535658,160374,2405,384720696,5649082536420,122155531,6472,39509484194
"parse journald format",5,0,4226270057,845254011,43479663,3067528331,1149311351,229862270,845473,822635485
"check process excludes",208,0,3985846589,19162723,270,2819721633,82147580560,394940291,14076,8582234830
"check file existence",308991,0,2446921868,7919,130,5590688,108544750005163,351287739,4288,58710640192
"check if file was already scanned",308858,0,2077432685,6726,110,35427148,108521608183320,351364083,4288,58710640192
"check with STIX IOCs",105882,0,1370776454,12946,691,5385788,62161902421311,587086590,6472,58709080115
"check if object should be logged",994916,0,787273810,791,210,4572395,207758533033887,208820174,771,58710640192
"apply hash IOCs",105882,0,780943271,7375,2374,3102250,62161902421311,587086590,6472,58709080115
"search for Cobalt Strike beacons",179867,0,773996767,4303,841,8596775,77784846182237,432457572,6472,58709080115
"store time information about deep scan",105882,0,570343660,5386,570,19276296,62161902421311,587086590,6472,58709080115
"deduplicate reasons",249152,0,548285685,2200,111,4646577,101557055051911,407610836,6472,58710640192
"apply false positive filters",994916,0,525061717,527,200,3736281,207758533033887,208820174,771,58710640192
"limit frequent matches",994916,0,493590803,496,140,3806364,207758533033887,208820174,771,58710640192
"parse TARGZ archive",1,0,444090903,444090903,444090903,444090903,6546973,6546973,6546973,6546973
"log object",502,0,377110529,751216,922,6346360,530383464791,1056540766,4458,35145274201
"check if deep scan is needed",249152,0,358329521,1438,161,3458750,101557055051911,407610836,6472,58710640192
"check if maximum file size is exceeded",249152,0,182448682,732,109,4520528,101557055051911,407610836,6472,58710640192
"fill in interesting content",249152,0,135583810,544,160,2789313,101557055051911,407610836,6472,58710640192
"log file",249152,0,78565868,315,110,2684873,101557055051911,407610836,6472,58710640192
"scan process for malicious indicators",68,0,42828013,629823,96243,3579732,74366280564,1093621773,24887,8582234830
"extract process handles",68,0,38949596,572788,212096,3373297,74366280564,1093621773,24887,8582234830
"enrich finding with file information",45,0,36039267,800872,17183,10335303,67567292164,1501495381,5009,35145274201
"parse authorized_keys format",1,0,26312033,26312033,26312033,26312033,21035181,21035181,21035181,21035181
"extract process environment variables",68,0,20095852,295527,121802,1122332,74366280564,1093621773,24887,8582234830
"initialize process memory reader",68,0,15461309,227372,92777,1699652,74366280564,1093621773,24887,8582234830
"parse TAR archive",1,0,15378937,15378937,15378937,15378937,976002,976002,976002,976002
"parse OLE format",14,0,13998061,999861,62329,6838971,722607457,51614818,9037,619335370
"truncate long values",502,0,10530984,20978,572,1492308,530383464791,1056540766,4458,35145274201
"parsing Firefox history",1,0,9983512,9983512,9983512,9983512,3616301,3616301,3616301,3616301
"schedule scan for executable",156,0,5210095,33398,17703,57039,383055332870,2455482903,9739,5179767260
"retrieve interesting process memory",68,0,2250646,33097,3346,742045,74366280564,1093621773,24887,8582234830
"check for C2 IOCs",8,0,2186956,273369,80063,609373,49696106,6212013,16932,23179984
"scan eBPF program with file YARA rules",1,0,1904685,1904685,1904685,1904685,40818,40818,40818,40818
"unpack UPX",3,0,1757602,585867,523278,646483,22133572779,7377857593,9126136,21705979207
"analyze process connection",68,0,1320790,19423,1443,524230,74366280564,1093621773,24887,8582234830
"truncate unimportant process memory sections",68,0,983793,14467,4769,52469,74366280564,1093621773,24887,8582234830
"log md5 to csv",38,0,477289,12560,130,56318,67162946069,1767445949,9037,35145274201
"check file mode",156,0,458827,2941,681,10500,383055332870,2455482903,9739,5179767260
"check for known evil services",156,0,291515,1868,1202,17654,383055332870,2455482903,9739,5179767260
"parse system crontab",3,0,179350,59783,8315,122222,12128739516,4042913172,9037,12011216604
"parse mail",5,0,102477,20495,10681,48694,75510188,15102037,9037,44825041
"scan dependent files",35,0,26350,752,140,3387,50601883,1445768,4458,8801516
"check for port 0",6,0,12524,2087,842,3778,46271029,7711838,16932,23179984
"check if profile is recent",1,0,9658,9658,9658,9658,5009,5009,5009,5009
"check for network pipes",6,0,3858,643,271,1112,46271029,7711838,16932,23179984
