hook_name,count,channel_full_count,total_exec_time_ns,avg_exec_time_ns,min_exec_time_ns,max_exec_time_ns,total_queue_time_ns,avg_queue_time_ns,min_queue_time_ns,max_queue_time_ns
"_OVERALL",1273404,488705,1376922835294,1081293,0,21186275909,58625813436127,46038659,0,9143929089
"scan with file YARA rules",105882,0,483580643198,4567165,1394831,5207324008,22072939397933,208467344,5881,8190646899
"scan with meta YARA rules",249117,0,213724173574,857926,100380,3067890122,42755993111915,171630170,3086,8965130272
"scan object with YARA",50135,0,148538345177,2962767,359036,4745885801,24419239630910,487069704,3807,9133524395
"scan with process YARA rules",68,0,68489313622,1007195788,40708666,4765823540,213328018063,3137176736,5881,9133524395
"apply Sigma rules",994769,0,63221772171,63554,6953,48948720,219125776903505,220278051,481,9133524395
"compare to ThorDB",156,0,52075455529,333817022,55490684,400383575,372973683946,2390856948,13054,5007991300
"parse log file",135,0,48439058814,358807843,2184,3624818828,37054036507,274474344,10420,883666541
"parse GZIP archive",10164,0,44612381259,4389254,50667,2963035846,2229890316052,219391018,10420,1386248135
"schedule scan for symlink target",59473,0,30081352458,505798,6563,440386475,6849994249849,115178219,3086,8965130272
"parse ZIP archive",190,0,24669617238,129840090,180694,9326106955,87113627102,458492774,10420,1045162922
"check file excludes",90327,0,21501396545,238039,120,367513820,17708090671224,196044268,5881,8965130272
"extract process environment variables",68,0,20941116819,307957600,115279,4769552576,213328018063,3137176736,5881,9133524395
"parse file content",105882,0,18219940364,172077,1473,828639772,22072939397933,208467344,5881,8190646899
"scan object's command line with YARA",68,0,8617341312,126725607,782473,2523123966,213328018063,3137176736,5881,9133524395
"scan process for malicious indicators",68,0,8142558576,119743508,87657,2956895237,213328018063,3137176736,5881,9133524395
"add meta information",45775,0,6119407909,133684,1945,89064605,12398237727438,270851725,5881,8965130272
"check process excludes",207,0,5646765456,27279060,231,3890152224,414296394091,2001431855,5881,9143929089
"parse journald format",5,0,4069395819,813879163,21991146,3233557842,409558094,81911618,25839,163034986
"check if file was already scanned",308823,0,3307430835,10709,109,31921446,49492273126394,160260968,3086,8965130272
"check file existence",308956,0,2450965599,7933,120,8187645,49539808901532,160345838,3086,8965130272
"extract process handles",68,0,1590575829,23390821,211583,514697646,213328018063,3137176736,5881,9133524395
"check with STIX IOCs",105882,0,1405645016,13275,671,9020465,22072939397933,208467344,5881,8190646899
"check if object should be logged",994769,0,787005742,791,200,4051621,219125776903505,220278051,481,9133524395
"search for Cobalt Strike beacons",179867,0,754825563,4196,721,3826651,34226955359321,190290355,5881,9133524395
"apply hash IOCs",105882,0,710518151,6710,2444,2969937,22072939397933,208467344,5881,8190646899
"store time information about deep scan",105882,0,708988608,6696,612,25167227,22072939397933,208467344,5881,8190646899
"apply false positive filters",994769,0,530354437,533,189,4054799,219125776903505,220278051,481,9133524395
"deduplicate reasons",249117,0,520033369,2087,120,3137166,42755993111915,171630170,3086,8965130272
"limit frequent matches",994769,0,477391633,479,140,4748512,219125776903505,220278051,481,9133524395
"log object",502,0,348388180,694000,922,5361251,603157736092,1201509434,3807,9133524395
"check if deep scan is needed",249117,0,329755023,1323,151,2456498,42755993111915,171630170,3086,8965130272
"parse TARGZ archive",1,0,176491115,176491115,176491115,176491115,55871521,55871521,55871521,55871521
"check if maximum file size is exceeded",249117,0,174555438,700,109,2635320,42755993111915,171630170,3086,8965130272
"fill in interesting content",249117,0,129829593,521,160,2684973,42755993111915,171630170,3086,8965130272
"log file",249117,0,77564447,311,100,4031675,42755993111915,171630170,3086,8965130272
"parse TAR archive",1,0,29681181,29681181,29681181,29681181,68041937,68041937,68041937,68041937
"parse authorized_keys format",1,0,28031003,28031003,28031003,28031003,313550108,313550108,313550108,313550108
"parsing Firefox history",1,0,16692765,16692765,16692765,16692765,312972527,312972527,312972527,312972527
"enrich finding with file information",45,0,16255678,361237,21771,2114155,8724294619,193873213,3807,3006959349
"truncate long values",502,0,14580517,29044,572,3553672,603157736092,1201509434,3807,9133524395
"initialize process memory reader",68,0,13170186,193679,81986,952668,213328018063,3137176736,5881,9133524395
"parse OLE format",14,0,12849783,917841,48673,4795372,6587788044,470556288,10420,1005944087
"parse system crontab",3,0,7274532,2424844,14127,5584116,93400960,31133653,10420,93380120
"analyze process connection",68,0,6270388,92211,821,2677520,213328018063,3137176736,5881,9133524395
"unpack UPX",3,0,5573054,1857684,351190,4524674,1198479260,399493086,276690287,461633091
"check for C2 IOCs",8,0,4143656,517957,85142,2858184,3959802050,494975256,5881,896672322
"schedule scan for executable",156,0,4105688,26318,15700,58832,372973683946,2390856948,13054,5007991300
"scan eBPF program with file YARA rules",1,0,1696187,1696187,1696187,1696187,16511,16511,16511,16511
"retrieve interesting process memory",68,0,1473048,21662,3518,99259,213328018063,3137176736,5881,9133524395
"log md5 to csv",38,0,1333864,35101,140,804726,4294734973,113019341,10420,317159656
"truncate unimportant process memory sections",68,0,1091050,16044,4749,44956,213328018063,3137176736,5881,9133524395
"check file mode",156,0,275268,1764,762,26651,372973683946,2390856948,13054,5007991300
"check for known evil services",156,0,247221,1584,841,3778,372973683946,2390856948,13054,5007991300
"parse mail",5,0,96433,19286,10490,41058,663868995,132773799,10420,248274711
"scan dependent files",35,0,21820,623,240,2244,38655128,1104432,6131,3469020
"check if profile is recent",1,0,14407,14407,14407,14407,3807,3807,3807,3807
"check for port 0",6,0,10950,1825,1212,2335,3333856996,555642832,5881,896672322
"check for network pipes",6,0,5061,843,631,962,3333856996,555642832,5881,896672322
