hook_name,count,channel_full_count,total_exec_time_ns,avg_exec_time_ns,min_exec_time_ns,max_exec_time_ns,total_queue_time_ns,avg_queue_time_ns,min_queue_time_ns,max_queue_time_ns
"_OVERALL",1273538,350286,1380650548654,1084106,0,21245027115,103888013069601,81574333,0,50744927150
"scan with file YARA rules",105882,0,484311626853,4574069,1351119,3683468852,59218883077045,559291315,4979,50744927150
"scan with meta YARA rules",249152,0,226796760788,910274,99279,2953171711,98469617707795,395219053,4979,50744927150
"scan object with YARA",50695,0,162972442434,3214763,378813,4519526460,10055307343484,198349094,4979,32619237666
"scan with process YARA rules",68,0,69985334326,1029196093,41258575,4552477241,103711587848,1525170409,25539,5497619288
"apply Sigma rules",994904,0,57345768040,57639,6974,39811535,148105322673556,148863933,911,50744927150
"compare to ThorDB",156,0,48155209843,308687242,57254350,332117662,356329727031,2284164916,23456,4841310501
"parse log file",135,0,43793415753,324395672,1763,6762423750,194264052649,1438992982,19357,29485476391
"schedule scan for symlink target",59507,0,35925248062,603714,8466,7941981600,9487608515940,159436848,14958,48174340010
"parse GZIP archive",10164,0,33142790054,3260801,55857,2309220025,3338281881070,328441743,19357,34056289732
"check file excludes",90361,0,28016084690,310046,120,388930490,9249868610173,102365717,4979,32619237666
"parse ZIP archive",190,0,24660067994,129789831,191125,10100661966,356649644166,1877103390,19357,50609954589
"parse file content",105882,0,15146860614,143054,1913,627743534,59218883077045,559291315,4979,50744927150
"add meta information",46333,0,6986894914,150797,2565,138157310,8131717149542,175505949,4979,32619237666
"scan object's command line with YARA",68,0,6474532027,95213706,802480,2853345829,103711587848,1525170409,25539,5497619288
"check process excludes",207,0,4631085319,22372392,260,2591542892,125018813591,603955621,11351,5497619288
"scan process for malicious indicators",68,0,4455936724,65528481,77116,3649014061,103711587848,1525170409,25539,5497619288
"parse journald format",5,0,2494522364,498904472,96620274,1628971162,340345082,68069016,19357,328105355
"check file existence",308990,0,2450322354,7930,120,3883732,103177679232208,333919153,4979,50744927150
"check if file was already scanned",308858,0,2067609806,6694,109,31520944,103161875094350,334010694,4979,50744927150
"check with STIX IOCs",105882,0,1298249670,12261,631,3918329,59218883077045,559291315,4979,50744927150
"check if object should be logged",994904,0,791398669,795,210,3913157,148105322673556,148863933,911,50744927150
"search for Cobalt Strike beacons",179868,0,727404022,4044,831,4181339,80066372520791,445139616,4979,50744927150
"apply hash IOCs",105882,0,702227113,6632,2334,2640940,59218883077045,559291315,4979,50744927150
"store time information about deep scan",105882,0,552406469,5217,692,20657972,59218883077045,559291315,4979,50744927150
"apply false positive filters",994904,0,535102571,537,200,4649423,148105322673556,148863933,911,50744927150
"deduplicate reasons",249152,0,533876367,2142,109,6669297,98469617707795,395219053,4979,50744927150
"limit frequent matches",994904,0,481573134,484,130,3965287,148105322673556,148863933,911,50744927150
"parse TARGZ archive",1,0,427428227,427428227,427428227,427428227,696980,696980,696980,696980
"check if deep scan is needed",249152,0,350554660,1406,161,3515839,98469617707795,395219053,4979,50744927150
"log object",502,0,338860048,675020,1002,2978273,545159412680,1085974925,6683,29485476391
"check if maximum file size is exceeded",249152,0,177566111,712,110,5207939,98469617707795,395219053,4979,50744927150
"fill in interesting content",249152,0,136149334,546,160,2247498,98469617707795,395219053,4979,50744927150
"log file",249152,0,80075899,321,100,2853275,98469617707795,395219053,4979,50744927150
"extract process handles",68,0,34898260,513209,171898,2231157,103711587848,1525170409,25539,5497619288
"parse TAR archive",1,0,30873406,30873406,30873406,30873406,2759967,2759967,2759967,2759967
"parsing Firefox history",1,0,25826926,25826926,25826926,25826926,8206899592,8206899592,8206899592,8206899592
"extract process environment variables",68,0,23009707,338378,126381,2790646,103711587848,1525170409,25539,5497619288
"enrich finding with file information",45,0,21581651,479592,16973,4266913,79854781563,1774550701,11081,29485476391
"parse authorized_keys format",1,0,20026628,20026628,20026628,20026628,1447376549,1447376549,1447376549,1447376549
"initialize process memory reader",68,0,15251217,224282,108307,1498020,103711587848,1525170409,25539,5497619288
"truncate long values",502,0,9787871,19497,661,731025,545159412680,1085974925,6683,29485476391
"parse OLE format",14,0,8251359,589382,57129,2908000,54546313963,3896165283,19357,12234692862
"schedule scan for executable",156,0,5344154,34257,15510,103848,356329727031,2284164916,23456,4841310501
"scan eBPF program with file YARA rules",1,0,2053329,2053329,2053329,2053329,16251,16251,16251,16251
"unpack UPX",3,0,1988073,662691,301545,1359915,3021482210,1007160736,9095728,2999019453
"check for C2 IOCs",8,0,1857334,232166,75975,1227281,101149640,12643705,1383590,28246073
"retrieve interesting process memory",68,0,1411744,20760,3126,98007,103711587848,1525170409,25539,5497619288
"analyze process connection",68,0,1123031,16515,1082,401336,103711587848,1525170409,25539,5497619288
"truncate unimportant process memory sections",68,0,1000410,14711,4248,52791,103711587848,1525170409,25539,5497619288
"log md5 to csv",38,0,492879,12970,120,56919,79808095940,2100213051,19357,29485476391
"check file mode",156,0,464395,2976,612,12724,356329727031,2284164916,23456,4841310501
"check for known evil services",156,0,277730,1780,731,4178,356329727031,2284164916,23456,4841310501
"parse mail",5,0,184522,36904,10851,77508,174159504,34831900,19357,123366364
"parse system crontab",3,0,179441,59813,8826,116222,15655919416,5218639805,525905424,14031139602
"scan dependent files",35,0,20559,587,161,1313,119559358,3415981,6973,8112452
"check for port 0",6,0,10889,1814,761,2645,96678928,16113154,7532164,28246073
"check if profile is recent",1,0,9810,9810,9810,9810,11081,11081,11081,11081
"check for network pipes",6,0,5621,936,240,2254,96678928,16113154,7532164,28246073
